Drug_id,Disease,Gene_name,CellType,Individual
NALTREXONE,Post Traumatic Stress Disorder,OPRK1,0.81467466,0.01756651
NALTREXONE,OCD & Tourette Syndrome,OPRK1,0.81467466,0.01756651
NALTREXONE,Schizophrenia,OPRK1,0.81467466,0.01756651
NALTREXONE,Substance Use Disorders,OPRK1,0.81467466,0.01756651
NALTREXONE,Eating Disorders,OPRK1,0.81467466,0.01756651
NALTREXONE,Major Depressive Disorder,OPRK1,0.81467466,0.01756651
CODEINE,Substance Use Disorders,OPRK1,0.81467466,0.01756651
CEBRANOPADOL,Substance Use Disorders,OPRK1,0.81467466,0.01756651
BENZHYDROCODONE,Substance Use Disorders,OPRK1,0.81467466,0.01756651
HYDROCODONE,Substance Use Disorders,OPRK1,0.81467466,0.01756651
NALOXONE,Major Depressive Disorder,OPRK1,0.81467466,0.01756651
NALOXONE,Eating Disorders,OPRK1,0.81467466,0.01756651
NALOXONE,Substance Use Disorders,OPRK1,0.81467466,0.01756651
MARDEPODECT,Schizophrenia,PDE10A,0.615209503,0.149810125
IBUDILAST,Substance Use Disorders,PDE10A,0.615209503,0.149810125
BALIPODECT,Schizophrenia,PDE10A,0.615209503,0.149810125
PENTOXIFYLLINE,Schizophrenia,PDE10A,0.615209503,0.149810125
PENTOXIFYLLINE,Major Depressive Disorder,PDE10A,0.615209503,0.149810125
PENTOXIFYLLINE,Bipolar Disorder,PDE10A,0.615209503,0.149810125
VOFOPITANT,Post Traumatic Stress Disorder,TACR1,0.86867002,0.001669125
VOFOPITANT,Bipolar Disorder,TACR1,0.86867002,0.001669125
VESTIPITANT,Major Depressive Disorder,TACR1,0.86867002,0.001669125
ORVEPITANT,Post Traumatic Stress Disorder,TACR1,0.86867002,0.001669125
ORVEPITANT,Major Depressive Disorder,TACR1,0.86867002,0.001669125
INSULIN,Schizophrenia,INSR,0.520699974,0.193741778
INSULIN,Post Traumatic Stress Disorder,INSR,0.520699974,0.193741778
INSULIN,Bipolar Disorder,INSR,0.520699974,0.193741778
INSULIN ASPART,Alzheimer’s Disease,INSR,0.520699974,0.193741778
INSULIN GLULISINE,Alzheimer’s Disease,INSR,0.520699974,0.193741778
TILAVONEMAB,Alzheimer’s Disease,MAPT,0.475983761,0.170287227
SEMORINEMAB,Alzheimer’s Disease,MAPT,0.475983761,0.170287227
BEPRANEMAB,Alzheimer’s Disease,MAPT,0.475983761,0.170287227
POSDINEMAB,Alzheimer’s Disease,MAPT,0.475983761,0.170287227
ZAGOTENEMAB,Alzheimer’s Disease,MAPT,0.475983761,0.170287227
GOSURANEMAB,Alzheimer’s Disease,MAPT,0.475983761,0.170287227
NABILONE,OCD & Tourette Syndrome,CNR1,0.838746992,0.009384592
DRINABANT,Alzheimer’s Disease,CNR1,0.838746992,0.009384592
DRINABANT,Schizophrenia,CNR1,0.838746992,0.009384592
CANNABIDIOL,Post Traumatic Stress Disorder,CNR1,0.838746992,0.009384592
CANNABIDIOL,Substance Use Disorders,CNR1,0.838746992,0.009384592
CANNABIDIOL,Schizophrenia,CNR1,0.838746992,0.009384592
CANNABIDIOL,Bipolar Disorder,CNR1,0.838746992,0.009384592
CANNABIDIOL,OCD & Tourette Syndrome,CNR1,0.838746992,0.009384592
CANNABIDIOL,Eating Disorders,CNR1,0.838746992,0.009384592
DRONABINOL,Bipolar Disorder,CNR1,0.838746992,0.009384592
DRONABINOL,Post Traumatic Stress Disorder,CNR1,0.838746992,0.009384592
DRONABINOL,Substance Use Disorders,CNR1,0.838746992,0.009384592
DRONABINOL,Schizophrenia,CNR1,0.838746992,0.009384592
DRONABINOL,Eating Disorders,CNR1,0.838746992,0.009384592
VORINOSTAT,Schizophrenia,HDAC2,0.367190696,0.083637366
VORINOSTAT,Alzheimer’s Disease,HDAC2,0.367190696,0.083637366
VORINOSTAT,Schizophrenia,HDAC1,0.748650922,0.032383738
VORINOSTAT,Alzheimer’s Disease,HDAC1,0.748650922,0.032383738
VORINOSTAT,Schizophrenia,HDAC3,0.104732249,0.216990441
VORINOSTAT,Alzheimer’s Disease,HDAC3,0.104732249,0.216990441
DASATINIB,Alzheimer’s Disease,FYN,0.837908215,0.005001426
DASATINIB,Alzheimer’s Disease,SRC,0.424800524,0.042570047
SARACATINIB,Alzheimer’s Disease,SRC,0.424800524,0.042570047
DASATINIB,Alzheimer’s Disease,YES1,0.82982383,0.0153477
DASATINIB,Alzheimer’s Disease,HCK,0.863785291,0.0
DASATINIB,Alzheimer’s Disease,LYN,0.873989648,0.000841472
DASATINIB,Alzheimer’s Disease,FRK,0.816481575,0.012326455
DASATINIB,Alzheimer’s Disease,ABL1,0.73455628,0.077892709
NILOTINIB,Alzheimer’s Disease,ABL1,0.73455628,0.077892709
SARACATINIB,Alzheimer’s Disease,ABL1,0.73455628,0.077892709
DASATINIB,Alzheimer’s Disease,PDGFRB,0.77973277,0.002524975
AMOXAPINE,Major Depressive Disorder,DRD1,0.570733639,0.054332397
PIMOZIDE,Schizophrenia,DRD1,0.570733639,0.054332397
PIMOZIDE,Major Depressive Disorder,DRD1,0.570733639,0.054332397
TOPIRAMATE,Post Traumatic Stress Disorder,SCN11A,0.693071964,0.028450071
TOPIRAMATE,Schizophrenia,SCN11A,0.693071964,0.028450071
TOPIRAMATE,Eating Disorders,SCN11A,0.693071964,0.028450071
TOPIRAMATE,OCD & Tourette Syndrome,SCN11A,0.693071964,0.028450071
TOPIRAMATE,Bipolar Disorder,SCN11A,0.693071964,0.028450071
TOPIRAMATE,Major Depressive Disorder,SCN11A,0.693071964,0.028450071
ERLOSAMIDE,Schizophrenia,SCN11A,0.693071964,0.028450071
ERLOSAMIDE,Major Depressive Disorder,SCN11A,0.693071964,0.028450071
ESLICARBAZEPINE ACETATE,Bipolar Disorder,SCN11A,0.693071964,0.028450071
LAMOTRIGINE,Eating Disorders,SCN11A,0.693071964,0.028450071
LAMOTRIGINE,Bipolar Disorder,SCN11A,0.693071964,0.028450071
LAMOTRIGINE,Schizophrenia,SCN11A,0.693071964,0.028450071
LAMOTRIGINE,Substance Use Disorders,SCN11A,0.693071964,0.028450071
LAMOTRIGINE,Major Depressive Disorder,SCN11A,0.693071964,0.028450071
CARBAMAZEPINE,Schizophrenia,SCN11A,0.693071964,0.028450071
CARBAMAZEPINE,Bipolar Disorder,SCN11A,0.693071964,0.028450071
CARBAMAZEPINE,Major Depressive Disorder,SCN11A,0.693071964,0.028450071
PHENYTOIN,Schizophrenia,SCN11A,0.693071964,0.028450071
PHENYTOIN,Major Depressive Disorder,SCN11A,0.693071964,0.028450071
ZONISAMIDE,Schizophrenia,SCN11A,0.693071964,0.028450071
ZONISAMIDE,Eating Disorders,SCN11A,0.693071964,0.028450071
EVENAMIDE,Schizophrenia,SCN11A,0.693071964,0.028450071
QUINIDINE,Major Depressive Disorder,SCN11A,0.693071964,0.028450071
LIDOCAINE,Attention Deficit Hyperactivity Disorder,SCN11A,0.693071964,0.028450071
ROPIVACAINE,Post Traumatic Stress Disorder,SCN11A,0.693071964,0.028450071
RILUZOLE,OCD & Tourette Syndrome,SCN11A,0.693071964,0.028450071
RILUZOLE,Post Traumatic Stress Disorder,SCN11A,0.693071964,0.028450071
RILUZOLE,Alzheimer’s Disease,SCN11A,0.693071964,0.028450071
RILUZOLE,Major Depressive Disorder,SCN11A,0.693071964,0.028450071
RILUZOLE,Bipolar Disorder,SCN11A,0.693071964,0.028450071
OXCARBAZEPINE,Schizophrenia,SCN11A,0.693071964,0.028450071
OXCARBAZEPINE,Major Depressive Disorder,SCN11A,0.693071964,0.028450071
TOPIRAMATE,Post Traumatic Stress Disorder,SCN1A,0.89019057,0.020005853
TOPIRAMATE,Schizophrenia,SCN1A,0.89019057,0.020005853
TOPIRAMATE,Eating Disorders,SCN1A,0.89019057,0.020005853
TOPIRAMATE,OCD & Tourette Syndrome,SCN1A,0.89019057,0.020005853
TOPIRAMATE,Bipolar Disorder,SCN1A,0.89019057,0.020005853
TOPIRAMATE,Major Depressive Disorder,SCN1A,0.89019057,0.020005853
ERLOSAMIDE,Schizophrenia,SCN1A,0.89019057,0.020005853
ERLOSAMIDE,Major Depressive Disorder,SCN1A,0.89019057,0.020005853
ESLICARBAZEPINE ACETATE,Bipolar Disorder,SCN1A,0.89019057,0.020005853
LAMOTRIGINE,Eating Disorders,SCN1A,0.89019057,0.020005853
LAMOTRIGINE,Bipolar Disorder,SCN1A,0.89019057,0.020005853
LAMOTRIGINE,Schizophrenia,SCN1A,0.89019057,0.020005853
LAMOTRIGINE,Substance Use Disorders,SCN1A,0.89019057,0.020005853
LAMOTRIGINE,Major Depressive Disorder,SCN1A,0.89019057,0.020005853
CARBAMAZEPINE,Schizophrenia,SCN1A,0.89019057,0.020005853
CARBAMAZEPINE,Bipolar Disorder,SCN1A,0.89019057,0.020005853
CARBAMAZEPINE,Major Depressive Disorder,SCN1A,0.89019057,0.020005853
PHENYTOIN,Schizophrenia,SCN1A,0.89019057,0.020005853
PHENYTOIN,Major Depressive Disorder,SCN1A,0.89019057,0.020005853
ZONISAMIDE,Schizophrenia,SCN1A,0.89019057,0.020005853
ZONISAMIDE,Eating Disorders,SCN1A,0.89019057,0.020005853
EVENAMIDE,Schizophrenia,SCN1A,0.89019057,0.020005853
QUINIDINE,Major Depressive Disorder,SCN1A,0.89019057,0.020005853
LIDOCAINE,Attention Deficit Hyperactivity Disorder,SCN1A,0.89019057,0.020005853
ROPIVACAINE,Post Traumatic Stress Disorder,SCN1A,0.89019057,0.020005853
RILUZOLE,OCD & Tourette Syndrome,SCN1A,0.89019057,0.020005853
RILUZOLE,Post Traumatic Stress Disorder,SCN1A,0.89019057,0.020005853
RILUZOLE,Alzheimer’s Disease,SCN1A,0.89019057,0.020005853
RILUZOLE,Major Depressive Disorder,SCN1A,0.89019057,0.020005853
RILUZOLE,Bipolar Disorder,SCN1A,0.89019057,0.020005853
OXCARBAZEPINE,Schizophrenia,SCN1A,0.89019057,0.020005853
OXCARBAZEPINE,Major Depressive Disorder,SCN1A,0.89019057,0.020005853
TOPIRAMATE,Post Traumatic Stress Disorder,SCN2A,0.894246726,0.036775705
TOPIRAMATE,Schizophrenia,SCN2A,0.894246726,0.036775705
TOPIRAMATE,Eating Disorders,SCN2A,0.894246726,0.036775705
TOPIRAMATE,OCD & Tourette Syndrome,SCN2A,0.894246726,0.036775705
TOPIRAMATE,Bipolar Disorder,SCN2A,0.894246726,0.036775705
TOPIRAMATE,Major Depressive Disorder,SCN2A,0.894246726,0.036775705
ERLOSAMIDE,Schizophrenia,SCN2A,0.894246726,0.036775705
ERLOSAMIDE,Major Depressive Disorder,SCN2A,0.894246726,0.036775705
ESLICARBAZEPINE ACETATE,Bipolar Disorder,SCN2A,0.894246726,0.036775705
LAMOTRIGINE,Eating Disorders,SCN2A,0.894246726,0.036775705
LAMOTRIGINE,Bipolar Disorder,SCN2A,0.894246726,0.036775705
LAMOTRIGINE,Schizophrenia,SCN2A,0.894246726,0.036775705
LAMOTRIGINE,Substance Use Disorders,SCN2A,0.894246726,0.036775705
LAMOTRIGINE,Major Depressive Disorder,SCN2A,0.894246726,0.036775705
CARBAMAZEPINE,Schizophrenia,SCN2A,0.894246726,0.036775705
CARBAMAZEPINE,Bipolar Disorder,SCN2A,0.894246726,0.036775705
CARBAMAZEPINE,Major Depressive Disorder,SCN2A,0.894246726,0.036775705
PHENYTOIN,Schizophrenia,SCN2A,0.894246726,0.036775705
PHENYTOIN,Major Depressive Disorder,SCN2A,0.894246726,0.036775705
ZONISAMIDE,Schizophrenia,SCN2A,0.894246726,0.036775705
ZONISAMIDE,Eating Disorders,SCN2A,0.894246726,0.036775705
EVENAMIDE,Schizophrenia,SCN2A,0.894246726,0.036775705
QUINIDINE,Major Depressive Disorder,SCN2A,0.894246726,0.036775705
LIDOCAINE,Attention Deficit Hyperactivity Disorder,SCN2A,0.894246726,0.036775705
ROPIVACAINE,Post Traumatic Stress Disorder,SCN2A,0.894246726,0.036775705
RILUZOLE,OCD & Tourette Syndrome,SCN2A,0.894246726,0.036775705
RILUZOLE,Post Traumatic Stress Disorder,SCN2A,0.894246726,0.036775705
RILUZOLE,Alzheimer’s Disease,SCN2A,0.894246726,0.036775705
RILUZOLE,Major Depressive Disorder,SCN2A,0.894246726,0.036775705
RILUZOLE,Bipolar Disorder,SCN2A,0.894246726,0.036775705
OXCARBAZEPINE,Schizophrenia,SCN2A,0.894246726,0.036775705
OXCARBAZEPINE,Major Depressive Disorder,SCN2A,0.894246726,0.036775705
TOPIRAMATE,Post Traumatic Stress Disorder,SCN3A,0.872572832,0.044363714
TOPIRAMATE,Schizophrenia,SCN3A,0.872572832,0.044363714
TOPIRAMATE,Eating Disorders,SCN3A,0.872572832,0.044363714
TOPIRAMATE,OCD & Tourette Syndrome,SCN3A,0.872572832,0.044363714
TOPIRAMATE,Bipolar Disorder,SCN3A,0.872572832,0.044363714
TOPIRAMATE,Major Depressive Disorder,SCN3A,0.872572832,0.044363714
ERLOSAMIDE,Schizophrenia,SCN3A,0.872572832,0.044363714
ERLOSAMIDE,Major Depressive Disorder,SCN3A,0.872572832,0.044363714
ESLICARBAZEPINE ACETATE,Bipolar Disorder,SCN3A,0.872572832,0.044363714
LAMOTRIGINE,Eating Disorders,SCN3A,0.872572832,0.044363714
LAMOTRIGINE,Bipolar Disorder,SCN3A,0.872572832,0.044363714
LAMOTRIGINE,Schizophrenia,SCN3A,0.872572832,0.044363714
LAMOTRIGINE,Substance Use Disorders,SCN3A,0.872572832,0.044363714
LAMOTRIGINE,Major Depressive Disorder,SCN3A,0.872572832,0.044363714
CARBAMAZEPINE,Schizophrenia,SCN3A,0.872572832,0.044363714
CARBAMAZEPINE,Bipolar Disorder,SCN3A,0.872572832,0.044363714
CARBAMAZEPINE,Major Depressive Disorder,SCN3A,0.872572832,0.044363714
PHENYTOIN,Schizophrenia,SCN3A,0.872572832,0.044363714
PHENYTOIN,Major Depressive Disorder,SCN3A,0.872572832,0.044363714
ZONISAMIDE,Schizophrenia,SCN3A,0.872572832,0.044363714
ZONISAMIDE,Eating Disorders,SCN3A,0.872572832,0.044363714
EVENAMIDE,Schizophrenia,SCN3A,0.872572832,0.044363714
QUINIDINE,Major Depressive Disorder,SCN3A,0.872572832,0.044363714
LIDOCAINE,Attention Deficit Hyperactivity Disorder,SCN3A,0.872572832,0.044363714
ROPIVACAINE,Post Traumatic Stress Disorder,SCN3A,0.872572832,0.044363714
RILUZOLE,OCD & Tourette Syndrome,SCN3A,0.872572832,0.044363714
RILUZOLE,Post Traumatic Stress Disorder,SCN3A,0.872572832,0.044363714
RILUZOLE,Alzheimer’s Disease,SCN3A,0.872572832,0.044363714
RILUZOLE,Major Depressive Disorder,SCN3A,0.872572832,0.044363714
RILUZOLE,Bipolar Disorder,SCN3A,0.872572832,0.044363714
OXCARBAZEPINE,Schizophrenia,SCN3A,0.872572832,0.044363714
OXCARBAZEPINE,Major Depressive Disorder,SCN3A,0.872572832,0.044363714
TOPIRAMATE,Post Traumatic Stress Disorder,SCN7A,0.623058377,0.05144531
TOPIRAMATE,Schizophrenia,SCN7A,0.623058377,0.05144531
TOPIRAMATE,Eating Disorders,SCN7A,0.623058377,0.05144531
TOPIRAMATE,OCD & Tourette Syndrome,SCN7A,0.623058377,0.05144531
TOPIRAMATE,Bipolar Disorder,SCN7A,0.623058377,0.05144531
TOPIRAMATE,Major Depressive Disorder,SCN7A,0.623058377,0.05144531
ERLOSAMIDE,Schizophrenia,SCN7A,0.623058377,0.05144531
ERLOSAMIDE,Major Depressive Disorder,SCN7A,0.623058377,0.05144531
ESLICARBAZEPINE ACETATE,Bipolar Disorder,SCN7A,0.623058377,0.05144531
LAMOTRIGINE,Eating Disorders,SCN7A,0.623058377,0.05144531
LAMOTRIGINE,Bipolar Disorder,SCN7A,0.623058377,0.05144531
LAMOTRIGINE,Schizophrenia,SCN7A,0.623058377,0.05144531
LAMOTRIGINE,Substance Use Disorders,SCN7A,0.623058377,0.05144531
LAMOTRIGINE,Major Depressive Disorder,SCN7A,0.623058377,0.05144531
CARBAMAZEPINE,Schizophrenia,SCN7A,0.623058377,0.05144531
CARBAMAZEPINE,Bipolar Disorder,SCN7A,0.623058377,0.05144531
CARBAMAZEPINE,Major Depressive Disorder,SCN7A,0.623058377,0.05144531
PHENYTOIN,Schizophrenia,SCN7A,0.623058377,0.05144531
PHENYTOIN,Major Depressive Disorder,SCN7A,0.623058377,0.05144531
ZONISAMIDE,Schizophrenia,SCN7A,0.623058377,0.05144531
ZONISAMIDE,Eating Disorders,SCN7A,0.623058377,0.05144531
EVENAMIDE,Schizophrenia,SCN7A,0.623058377,0.05144531
QUINIDINE,Major Depressive Disorder,SCN7A,0.623058377,0.05144531
LIDOCAINE,Attention Deficit Hyperactivity Disorder,SCN7A,0.623058377,0.05144531
ROPIVACAINE,Post Traumatic Stress Disorder,SCN7A,0.623058377,0.05144531
RILUZOLE,OCD & Tourette Syndrome,SCN7A,0.623058377,0.05144531
RILUZOLE,Post Traumatic Stress Disorder,SCN7A,0.623058377,0.05144531
RILUZOLE,Alzheimer’s Disease,SCN7A,0.623058377,0.05144531
RILUZOLE,Major Depressive Disorder,SCN7A,0.623058377,0.05144531
RILUZOLE,Bipolar Disorder,SCN7A,0.623058377,0.05144531
OXCARBAZEPINE,Schizophrenia,SCN7A,0.623058377,0.05144531
OXCARBAZEPINE,Major Depressive Disorder,SCN7A,0.623058377,0.05144531
TOPIRAMATE,Post Traumatic Stress Disorder,SCN9A,0.739358825,0.025129717
TOPIRAMATE,Schizophrenia,SCN9A,0.739358825,0.025129717
TOPIRAMATE,Eating Disorders,SCN9A,0.739358825,0.025129717
TOPIRAMATE,OCD & Tourette Syndrome,SCN9A,0.739358825,0.025129717
TOPIRAMATE,Bipolar Disorder,SCN9A,0.739358825,0.025129717
TOPIRAMATE,Major Depressive Disorder,SCN9A,0.739358825,0.025129717
ERLOSAMIDE,Schizophrenia,SCN9A,0.739358825,0.025129717
ERLOSAMIDE,Major Depressive Disorder,SCN9A,0.739358825,0.025129717
ESLICARBAZEPINE ACETATE,Bipolar Disorder,SCN9A,0.739358825,0.025129717
LAMOTRIGINE,Eating Disorders,SCN9A,0.739358825,0.025129717
LAMOTRIGINE,Bipolar Disorder,SCN9A,0.739358825,0.025129717
LAMOTRIGINE,Schizophrenia,SCN9A,0.739358825,0.025129717
LAMOTRIGINE,Substance Use Disorders,SCN9A,0.739358825,0.025129717
LAMOTRIGINE,Major Depressive Disorder,SCN9A,0.739358825,0.025129717
CARBAMAZEPINE,Schizophrenia,SCN9A,0.739358825,0.025129717
CARBAMAZEPINE,Bipolar Disorder,SCN9A,0.739358825,0.025129717
CARBAMAZEPINE,Major Depressive Disorder,SCN9A,0.739358825,0.025129717
PHENYTOIN,Schizophrenia,SCN9A,0.739358825,0.025129717
PHENYTOIN,Major Depressive Disorder,SCN9A,0.739358825,0.025129717
ZONISAMIDE,Schizophrenia,SCN9A,0.739358825,0.025129717
ZONISAMIDE,Eating Disorders,SCN9A,0.739358825,0.025129717
EVENAMIDE,Schizophrenia,SCN9A,0.739358825,0.025129717
QUINIDINE,Major Depressive Disorder,SCN9A,0.739358825,0.025129717
LIDOCAINE,Attention Deficit Hyperactivity Disorder,SCN9A,0.739358825,0.025129717
ROPIVACAINE,Post Traumatic Stress Disorder,SCN9A,0.739358825,0.025129717
RILUZOLE,OCD & Tourette Syndrome,SCN9A,0.739358825,0.025129717
RILUZOLE,Post Traumatic Stress Disorder,SCN9A,0.739358825,0.025129717
RILUZOLE,Alzheimer’s Disease,SCN9A,0.739358825,0.025129717
RILUZOLE,Major Depressive Disorder,SCN9A,0.739358825,0.025129717
RILUZOLE,Bipolar Disorder,SCN9A,0.739358825,0.025129717
OXCARBAZEPINE,Schizophrenia,SCN9A,0.739358825,0.025129717
OXCARBAZEPINE,Major Depressive Disorder,SCN9A,0.739358825,0.025129717
VIXOTRIGINE,Bipolar Disorder,SCN9A,0.739358825,0.025129717
TOPIRAMATE,Post Traumatic Stress Disorder,SCN8A,0.899429845,0.014895295
TOPIRAMATE,Schizophrenia,SCN8A,0.899429845,0.014895295
TOPIRAMATE,Eating Disorders,SCN8A,0.899429845,0.014895295
TOPIRAMATE,OCD & Tourette Syndrome,SCN8A,0.899429845,0.014895295
TOPIRAMATE,Bipolar Disorder,SCN8A,0.899429845,0.014895295
TOPIRAMATE,Major Depressive Disorder,SCN8A,0.899429845,0.014895295
ERLOSAMIDE,Schizophrenia,SCN8A,0.899429845,0.014895295
ERLOSAMIDE,Major Depressive Disorder,SCN8A,0.899429845,0.014895295
ESLICARBAZEPINE ACETATE,Bipolar Disorder,SCN8A,0.899429845,0.014895295
LAMOTRIGINE,Eating Disorders,SCN8A,0.899429845,0.014895295
LAMOTRIGINE,Bipolar Disorder,SCN8A,0.899429845,0.014895295
LAMOTRIGINE,Schizophrenia,SCN8A,0.899429845,0.014895295
LAMOTRIGINE,Substance Use Disorders,SCN8A,0.899429845,0.014895295
LAMOTRIGINE,Major Depressive Disorder,SCN8A,0.899429845,0.014895295
CARBAMAZEPINE,Schizophrenia,SCN8A,0.899429845,0.014895295
CARBAMAZEPINE,Bipolar Disorder,SCN8A,0.899429845,0.014895295
CARBAMAZEPINE,Major Depressive Disorder,SCN8A,0.899429845,0.014895295
PHENYTOIN,Schizophrenia,SCN8A,0.899429845,0.014895295
PHENYTOIN,Major Depressive Disorder,SCN8A,0.899429845,0.014895295
ZONISAMIDE,Schizophrenia,SCN8A,0.899429845,0.014895295
ZONISAMIDE,Eating Disorders,SCN8A,0.899429845,0.014895295
EVENAMIDE,Schizophrenia,SCN8A,0.899429845,0.014895295
QUINIDINE,Major Depressive Disorder,SCN8A,0.899429845,0.014895295
LIDOCAINE,Attention Deficit Hyperactivity Disorder,SCN8A,0.899429845,0.014895295
ROPIVACAINE,Post Traumatic Stress Disorder,SCN8A,0.899429845,0.014895295
RILUZOLE,OCD & Tourette Syndrome,SCN8A,0.899429845,0.014895295
RILUZOLE,Post Traumatic Stress Disorder,SCN8A,0.899429845,0.014895295
RILUZOLE,Alzheimer’s Disease,SCN8A,0.899429845,0.014895295
RILUZOLE,Major Depressive Disorder,SCN8A,0.899429845,0.014895295
RILUZOLE,Bipolar Disorder,SCN8A,0.899429845,0.014895295
OXCARBAZEPINE,Schizophrenia,SCN8A,0.899429845,0.014895295
OXCARBAZEPINE,Major Depressive Disorder,SCN8A,0.899429845,0.014895295
ABT-384,Alzheimer’s Disease,HSD11B1,0.436282325,0.012112254
BEXAROTENE,Schizophrenia,RXRB,0.007798923,0.170409376
BEXAROTENE,Alzheimer’s Disease,RXRB,0.007798923,0.170409376
ACITRETIN,Alzheimer’s Disease,RXRB,0.007798923,0.170409376
BEXAROTENE,Schizophrenia,RXRA,0.657672469,0.066789147
BEXAROTENE,Alzheimer’s Disease,RXRA,0.657672469,0.066789147
ACITRETIN,Alzheimer’s Disease,RXRA,0.657672469,0.066789147
DROSPIRENONE,Eating Disorders,NR3C2,0.761557848,0.040674591
DROSPIRENONE,Major Depressive Disorder,NR3C2,0.761557848,0.040674591
NIMODIPINE,Schizophrenia,NR3C2,0.761557848,0.040674591
FLUDROCORTISONE ACETATE,Major Depressive Disorder,NR3C2,0.761557848,0.040674591
PEPINEMAB,Alzheimer’s Disease,SEMA4D,0.839528719,0.014616578
ATABECESTAT,Alzheimer’s Disease,BACE1,0.727480218,0.04434107
VERUBECESTAT,Alzheimer’s Disease,BACE1,0.727480218,0.04434107
LANABECESTAT,Alzheimer’s Disease,BACE1,0.727480218,0.04434107
ELENBECESTAT,Alzheimer’s Disease,BACE1,0.727480218,0.04434107
ISOTRETINOIN,Alzheimer’s Disease,RARG,0.649989953,0.041330658
ACITRETIN,Alzheimer’s Disease,RARG,0.649989953,0.041330658
ISOTRETINOIN,Alzheimer’s Disease,RARB,0.862142935,0.015220937
TAMIBAROTENE,Alzheimer’s Disease,RARB,0.862142935,0.015220937
ACITRETIN,Alzheimer’s Disease,RARB,0.862142935,0.015220937
ISOTRETINOIN,Alzheimer’s Disease,RARA,0.394121022,0.109771148
TAMIBAROTENE,Alzheimer’s Disease,RARA,0.394121022,0.109771148
ACITRETIN,Alzheimer’s Disease,RARA,0.394121022,0.109771148
THEOPHYLLINE,Major Depressive Disorder,PDE4A,0.593403028,0.083892969
ROFLUMILAST,Schizophrenia,PDE4A,0.593403028,0.083892969
IBUDILAST,Substance Use Disorders,PDE4A,0.593403028,0.083892969
PENTOXIFYLLINE,Schizophrenia,PDE4A,0.593403028,0.083892969
PENTOXIFYLLINE,Major Depressive Disorder,PDE4A,0.593403028,0.083892969
PENTOXIFYLLINE,Bipolar Disorder,PDE4A,0.593403028,0.083892969
THEOPHYLLINE,Major Depressive Disorder,PDE4D,0.860926343,0.029665033
ROFLUMILAST,Schizophrenia,PDE4D,0.860926343,0.029665033
IBUDILAST,Substance Use Disorders,PDE4D,0.860926343,0.029665033
PENTOXIFYLLINE,Schizophrenia,PDE4D,0.860926343,0.029665033
PENTOXIFYLLINE,Major Depressive Disorder,PDE4D,0.860926343,0.029665033
PENTOXIFYLLINE,Bipolar Disorder,PDE4D,0.860926343,0.029665033
ZATOLMILAST,Alzheimer’s Disease,PDE4D,0.860926343,0.029665033
THEOPHYLLINE,Major Depressive Disorder,PDE4B,0.890793806,0.009783994
ROFLUMILAST,Schizophrenia,PDE4B,0.890793806,0.009783994
IBUDILAST,Substance Use Disorders,PDE4B,0.890793806,0.009783994
PENTOXIFYLLINE,Schizophrenia,PDE4B,0.890793806,0.009783994
PENTOXIFYLLINE,Major Depressive Disorder,PDE4B,0.890793806,0.009783994
PENTOXIFYLLINE,Bipolar Disorder,PDE4B,0.890793806,0.009783994
THEOPHYLLINE,Major Depressive Disorder,PDE4C,0.543794645,0.106410103
ROFLUMILAST,Schizophrenia,PDE4C,0.543794645,0.106410103
IBUDILAST,Substance Use Disorders,PDE4C,0.543794645,0.106410103
PENTOXIFYLLINE,Schizophrenia,PDE4C,0.543794645,0.106410103
PENTOXIFYLLINE,Major Depressive Disorder,PDE4C,0.543794645,0.106410103
PENTOXIFYLLINE,Bipolar Disorder,PDE4C,0.543794645,0.106410103
THEOPHYLLINE,Major Depressive Disorder,PDE3A,0.831776162,0.008438865
IBUDILAST,Substance Use Disorders,PDE3A,0.831776162,0.008438865
PENTOXIFYLLINE,Schizophrenia,PDE3A,0.831776162,0.008438865
PENTOXIFYLLINE,Major Depressive Disorder,PDE3A,0.831776162,0.008438865
PENTOXIFYLLINE,Bipolar Disorder,PDE3A,0.831776162,0.008438865
THEOPHYLLINE,Major Depressive Disorder,PDE3B,0.673870097,0.025123991
PENTOXIFYLLINE,Schizophrenia,PDE3B,0.673870097,0.025123991
PENTOXIFYLLINE,Major Depressive Disorder,PDE3B,0.673870097,0.025123991
PENTOXIFYLLINE,Bipolar Disorder,PDE3B,0.673870097,0.025123991
THEOPHYLLINE,Major Depressive Disorder,ADORA1,0.698248957,0.043122626
CAFFEINE,Substance Use Disorders,ADORA1,0.698248957,0.043122626
CAFFEINE,Alzheimer’s Disease,ADORA1,0.698248957,0.043122626
CAFFEINE,Attention Deficit Hyperactivity Disorder,ADORA1,0.698248957,0.043122626
THEOPHYLLINE,Major Depressive Disorder,ADORA2B,0.894753698,0.0
CAFFEINE,Substance Use Disorders,ADORA2B,0.894753698,0.0
CAFFEINE,Alzheimer’s Disease,ADORA2B,0.894753698,0.0
CAFFEINE,Attention Deficit Hyperactivity Disorder,ADORA2B,0.894753698,0.0
PENTOXIFYLLINE,Schizophrenia,ADORA2B,0.894753698,0.0
PENTOXIFYLLINE,Major Depressive Disorder,ADORA2B,0.894753698,0.0
PENTOXIFYLLINE,Bipolar Disorder,ADORA2B,0.894753698,0.0
